id,admin_name,admin_photo,admin_desc,admin_email
1,Mandy Tang,Admin_Photo/image_1.jpg,專精港式茶餐廳文化，擁有10年餐飲業經驗。,liam@example.com
2,Olivia,Admin_Photo/image_2.jpg,最鍾意觀察人潮，發掘人龍背後的美食秘訣。,olivia@example.com
3,Noah,Admin_Photo/image_3.jpg,從街市飯盒到米芝蓮快餐，通通評得頭頭是道。,noah@example.com
4,Emma,Admin_Photo/image_4.jpg,熱愛探索社區隱世兩餸飯，分享地道滋味。,emma@example.com
5,James,Admin_Photo/image_5.jpg,對滷水牛腩與蒸蛋有非一般執著，堪稱兩餸達人。,james@example.com
6,Ava,Admin_Photo/image_6.jpg,重視飯與菜的比例是否恰當，是標準的兩餸守門員。,ava@example.com
7,Elijah,Admin_Photo/image_7.jpg,熱愛探索社區隱世兩餸飯，分享地道滋味。,elijah@example.com
8,Sophia,Admin_Photo/image_8.jpg,善於分析便當配搭邏輯，致力推廣平價美食文化。,sophia@example.com
9,William,Admin_Photo/image_9.jpg,最鍾意觀察人潮，發掘人龍背後的美食秘訣。,william@example.com
10,Evelyn,Admin_Photo/image_10.jpg,相信平凡中見真味，最愛街頭小店的家常菜。,evelyn@example.com
11,John,Admin_Photo/image_11.jpg,對滷水牛腩與蒸蛋有非一般執著，堪稱兩餸達人。,john@example.com
12,Mia,Admin_Photo/image_12.jpg,相信平凡中見真味，最愛街頭小店的家常菜。,mia@example.com
13,Benjamin,Admin_Photo/image_13.jpg,熱愛探索社區隱世兩餸飯，分享地道滋味。,benjamin@example.com
14,Charlotte,Admin_Photo/image_14.jpg,相信平凡中見真味，最愛街頭小店的家常菜。,charlotte@example.com
15,Lucas,Admin_Photo/image_15.jpg,熱愛探索社區隱世兩餸飯，分享地道滋味。,lucas@example.com
16,Amelia,Admin_Photo/image_16.jpg,對滷水牛腩與蒸蛋有非一般執著，堪稱兩餸達人。,amelia@example.com
17,Mason,Admin_Photo/image_17.jpg,每日中午準時開飯，專門搜集性價比高的兩餸店。,mason@example.com
18,Jenny,Admin_Photo/image_18.jpg,相信平凡中見真味，最愛街頭小店的家常菜。,jenny@example.com
19,Ethan,Admin_Photo/image_19.jpg,熱愛探索社區隱世兩餸飯，分享地道滋味。,ethan@example.com
20,Abigail,Admin_Photo/image_20.jpg,由細食到大，認得全港超過100間兩餸老店。,abigail@example.com
